id,Date,Reporter,Title,Pool Report,Off the Record,Other type?,Phone Present,Auto- Redact,Manual Redact,Email Present,Auto- Redact,Manual Redact,Address Present,Auto- Redact,Manual Redact,Review Complete,Publish,Comments
0,"Thu, 8 Apr 2021 12:33:11 -0400",Chris Johnson,Pool Report #3 - event concludes,TRUE,FALSE,,,,,,,,,,,1,1,
1,"Thu, 8 Apr 2021 11:59:56 -0400",Chris Johnson,Pool Report #2a - clarification,TRUE,FALSE,,,,,,,,,,,1,1,
2,"Thu, 8 Apr 2021 11:56:41 -0400",Chris Johnson,Pool Report #2 - event begins,TRUE,FALSE,,,,,,,,,,,1,1,
3,"Thu, 8 Apr 2021 11:52:54 -0400",Chris Johnson,Pool Note #2 - two min warning,TRUE,FALSE,,,,,,,,,,,1,1,
4,"Thu, 8 Apr 2021 11:51:40 -0400",Chris Johnson,Pool Note - still waiting,TRUE,FALSE,,,,,,,,,,,1,1,
5,"Thu, 8 Apr 2021 09:51:34 -0400",Chris Johnson,"Pool Report #1 - Checking in, Rose Garden event attendees",TRUE,FALSE,,,,,,,,,,,1,1,
6,"Wed, 7 Apr 2021 19:04:59 +0000",Bricio Segovia,FLOTUS Pool Report #9: Tour and WH arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
7,"Wed, 7 Apr 2021 14:38:24 -0400",Alex Leary,in-town print pool #9 (lid),TRUE,FALSE,,1,1,,,,,,,,1,1,
8,"Wed, 7 Apr 2021 14:30:47 -0400",Alex Leary,In-town print pool #8 (POTUS concludes),TRUE,FALSE,,1,1,,,,,,,,1,1,
9,"Wed, 7 Apr 2021 14:05:32 -0400",Alex Leary,In-town print pool #7 (POTUS begins),TRUE,FALSE,,1,1,,,,,,,,1,1,
10,"Wed, 7 Apr 2021 14:02:22 -0400",Alex Leary,In-town print pool #6 (2 min warning),TRUE,FALSE,,1,1,,,,,,,,1,1,
11,"Wed, 7 Apr 2021 13:48:24 -0400",Alex Leary,In-town print pool #5 (holding for POTUS),TRUE,FALSE,,1,1,,,,,,,,1,1,
12,"Wed, 7 Apr 2021 13:36:35 -0400",Alex Leary,In-town print pool #4 (briefing over),TRUE,FALSE,,1,1,,,,,,,,1,1,
13,"Wed, 7 Apr 2021 17:34:25 +0000",Bricio Segovia,FLOTUS Pool Report #8: Military OneSource Arrival,TRUE,FALSE,,1,1,,,,,,,,1,1,
14,"Wed, 7 Apr 2021 17:21:22 +0000",Bricio Segovia,FLOTUS Pool Report #7: Motorcade rolling,TRUE,FALSE,,1,1,,,,,,,,1,1,
15,"Wed, 7 Apr 2021 17:00:34 +0000",Bricio Segovia,FLOTUS Pool Report #6: Holding in press vans,TRUE,FALSE,,1,1,,,,,,,,1,1,
16,"Wed, 7 Apr 2021 16:44:44 +0000",Bricio Segovia,FLOTUS Pool Report #5: Remarks as delivered,TRUE,FALSE,,1,1,,,,,,,,1,1,
17,"Wed, 7 Apr 2021 16:39:44 +0000",Bricio Segovia,FLOTUS Pool Report #4: More remarks + Color,TRUE,FALSE,,1,1,,,,,,,,1,1,
18,"Wed, 7 Apr 2021 12:19:21 -0400",Alex Leary,In-town print pool #3 (2 min warning),TRUE,FALSE,,1,1,,,,,,,,1,1,
19,"Wed, 7 Apr 2021 15:43:47 +0000",Bricio Segovia,FLOTUS Pool Report #3: FLOTUS Excerpts / Event begins,TRUE,FALSE,,1,1,,,,,,,,1,1,
20,"Wed, 7 Apr 2021 15:33:04 +0000",Bricio Segovia,FLOTUS Pool Report #2: Pool waiting,TRUE,FALSE,,1,1,,,,,,,,1,1,
