Identifier,Message Body
body-135,"<p>The CBC meeting was ending but it had not officially ended per a WH official.</p><div><br></div><div>However the meeting is expected to end soon.</div><div><br></div><div>Pool is still at stakeout.</div><div><br></div><div><br></div>-- <br><div><div><p>Hans Nichols </p><p>Hans<a href=""mailto:▊▊▊▊▊▊▊▊▊▊"" target=""_blank"">@axios.com</a></p><p>▊▊▊▊▊▊▊▊▊▊<br>Twitter: @hansnichols</p><p><img height=""28"" src=""external_files/external_img29.png""></p><p>🎧 Get the news that matters in just ten minutes with Axios Today &amp; Axios Re:Cap podcasts - <a href=""https://www.axios.com/podcasts"" target=""_blank"">Subscribe</a>! </p></div></div>"
body-307,<div> <div> <div>CORRECTION TO REPORT #5</div> <div><br> </div> <div>Daniel Tso is a Navajo Nation Council delegate. He chairs the council’s Health Education and Human Services Committee. He is not the CEO for IHS. <br> </div> <div><br> </div> <div>Rosalyn Tso is the director of the Navajo-area Indian Health Service. It’s one of 12 IHS regional offices. <br> </div> <div><br> </div> <div>Wheels up from ABQ at 3:51pm</div> <div><br> </div> <div> <div>Sent from my iPhone</div> <div>Jada Yuan</div> <div>Political Features Writer <i>The Washington Post</i></div> <div>▊▊▊▊▊▊▊▊▊▊</div> <div>C: ▊▊▊▊▊▊▊▊▊▊</div> <div>Twitter: @jadabird</div> <div>IG: @alphajada</div> </div> </div> </div>
body-338,<div> <div> <p> Morning from sunny Gallup NM. It is a dry 42 degrees. </p> <p> This is the final day of First Lady Jill Biden’s 3-day trip. We will spend the morning on Navajo Nation visiting a school and a medical center then start making our way back to the White House. </p> <p> The pool has been covid-tested (last night) and is gathering for an anticipated 8:45am departure to Hunters Point Boarding School in St. Michaels Arizona. </p> <p> Dr. Biden will be having a conversation with Navajo students joined by </p> <p> President Jonathan Nez</p> <p> First Lady Phefelia Nez</p> <p> Mrs. Lesley Tohtsoni Diné Language Culture Teacher at Navajo Preparatory School</p> <p> Ms. Melody West English Teacher at Wingate High School</p> <p> After that she heads to Tsehootsooi Medical Center in Fort Defiance AZ.</p> <p> Greeters:</p> <p> Dr. Sandi Adkins Chief Executive Officer</p> <p> Ms. Margaret Lynch Executive Vice President Corporate Operations</p> <p> Dr. Biden will take a walking tour with President Nez and Phefelia Nez to greet the hospital staff.</p> <p> They will be joined by:</p> <p> Ms. Tina James-Tafoya Chief Administrative Officer</p> <p> Commander Leah Earl-Begay Chief of Healthy Living &amp; Outreach</p> <p> Dr. Aaron Price Staff Physician</p> <p> Mr. Jarom Prows Director of Support</p> <p> That is the last agenda item. Afterwards FLOTUS will drive back to Albuquerque and fly back to JBA. </p> <p> <u>BACKGROUND FROM FIRST LADY’S OFFICE</u></p> <p> <u>LISTENING SESSION</u></p> <p> The First Lady and President Nez will attend a listening session with students from across Navajo Nation at Hunters Point Board School in St. Michaels Arizona. </p> <p> <u>MEDICAL CENTER</u></p> <p> The First Lady will visit Tsehootsooi Medical Center a tribal healthcare facility with a COVID-19 vaccination clinic on the Navajo Nation. Her visit will highlight the critical work of COVID-19 vaccination centers and the success of the Navajo Nation’s vaccination effort. </p> <p> At the first stop Dr. Biden President Nez and First Lady Nez will receive a briefing from Dr. Sandi Adkins Chief Executive Officer and Mrs. Margaret Lynch Executive Vice President for Corporate Operations. </p> <p> At the second stop they will participate in a greet with four additional members of the Fort Defiance Indian Hospital Board’s leadership: Tina James-Tafoya Chief Administrative Officer; CDR Leah Earl-Begay Chief of Healthy Living &amp; Outreach Dr. Aaron J. Price Chief of Hospital Medicine and Jarom Prows Support Services Director. </p> <p> At their last stop Dr. Adkins and Mrs. Lynch will introduce the First Lady President Nez and First Lady Nez to a group of a dozen frontline workers at the medical center.</p> <p> <u>BACKGROUND ON MEDICAL CENTER</u></p> <p> Located on the Navajo Nation in Fort Defiance Arizona the Tseehootsooi Medical Center is operated and managed by the Fort Defiance Indian Hospital Board (FDIHB). </p> <p> The Tsehootsooi Medical Center is FDIHB’s largest health care facility and is home to their main COVID-19 vaccination clinic. </p> <p> <u>TEACHER PARTICIPANTS</u></p> <p> Lesley (Duffus) Tohtsoni Dine Language Culture Teacher Navajo Preparatory School </p> <p> Lesley (Duffus) Tohtsoni is a lifelong educator at Navajo Preparatory School. Over the course of her career she has taught students in grades 9 -12. For 25 years Lesley has been committed to impacting student learning and achievement at Navajo Preparatory School (NPS). Currently Lesley teaches U.S. History for the IB Diploma Program at NPS. Lesley earned her master’s degree in curriculum and instruction from New Mexico Highlands University. She is originally from State College Pennsylvania and taught at an international school in Kenya prior to working at Navajo Prep. </p> <p> Melody P. West English Teacher Wingate High School </p> <p> Melody West is of Navajo and Japanese descent. She has spent most of her life living in her childhood neighborhood of Gallup New Mexico. She earned her Bachelor’s degree in Secondary Education with a concentration in English from Arizona State University. She taught in two Arizona Native American communities: Gila River Indian Community and The Salt River Indian Community. Wingate High School has been Melody’s second home for 25 years. She strives to be a role model of a Native American teacher; a teacher she never saw in her own early education. Being a lifelong learner and teacher of young people is one of Melody’s greatest honors and passions. Melody is the proud parent of seven children.</p> <p> <u>MEDICAL PARTICIPANTS</u></p> <p> Arrival Greet and Briefing </p> <p> • Jonathan Nez President of Navajo Nation</p> <p> • Phefelia Nez First Lady of Navajo Nation</p> <p> • Dr. Sandi Adkins Chief Executive Officer</p> <p> • Mrs. Margaret Lynch Exec. Vice President for Corporate Operations</p> <p> Leadership Greet</p> <p> • Tina James-Tafoya Chief Administrative Officer</p> <p> • Leah Earl-Begay Chief of Healthy Living &amp; Outreach</p> <p> • Dr. Aaron Price Chief of Internal Medicine</p> <p> • Jarom Prows Director of Support Services</p> <p> Frontline Worker Greet</p> <p> • Terrilynn A. Chee Director of Revenue Cycle Management</p> <p> • Rachelle West Lead Patient Access Representative – Patient Registration</p> <p> • Tarsicia C. Chee Patient Access Representative – Patient Registration</p> <p> • Melanie Begaye RN - MSU (Multi-Service Unit) Inpatient</p> <p> • Lisa Smiley Resource RN - ICU (Intensive Care Unit) Inpatient</p> <p> • Autumn Yazzie Medical Assistant - ED (Emergency Department)</p> <p> • Monique Sioux-Bob RN - ED (Emergency Department)</p> <p> • Jolene Benally RN - OB Unit (Labor and Delivery)</p> <p> • Yvette I. Cayadito Respiratory Therapist – Respiratory Therapy</p> <p> • Elthea Notah Respiratory Supervisor – Respiratory Therapy</p> <p> • Sharon Peterson Environmental Services Technician – Environmental Services</p> <p> • Pamela Beyal Environmental Services Technician– Environmental Services</p> <p> • Sherwin Gilbert Begay Maintenance Mechanic Leader- Maintenance Department</p> <p> • John Robert Willeto Jr. Facilities Manager – Maintenance Manager</p> <p> <u>BIOS</u></p> <p> Dr. Sandi Adkins Chief Executive Officer Fort Defiance Indian Health Board</p> <p> Dr. Sandi Adkins who is originally from Ohio is a dentist by training. She joined the Indian Health Service as a Commissioned Corps dentist in 1996 and served in the Gallup Service Unit for many years. In January of 2008 Dr. Adkins took a job at Fort Defiance Indian Hospital when it was still under the federal IHS system. Since arriving at the Fort Defiance Indian Health Board she has served in several roles in the organization including Deputy Dental Director Director of Medical Services and most recently the Chief Executive Officer (since late 2015). She has proudly served in the Commissioned Corps for just over 25 years. Her family resides in Gallup New Mexico. She and her husband Kevin have one son Nick. </p> <p> Margaret Lynch Executive Vice President of Corporate Operations Fort Defiance Indian Health Board</p> <p> Margaret Lynch currently serves as the Executive Vice President of Corporate Operations for the Fort Defiance Indian Hospital Board Inc. (FDIHB). Margaret has over 20 years of leadership human resources and health care experience.</p> <br> </div> <div> <div> <br> </div> <div> <div> <div> --</div> <div> Jada Yuan</div> <div> Features Writer The Washington Post</div> <div> cell: ▊▊▊▊▊▊▊▊▊▊</div> <div> ▊▊▊▊▊▊▊▊▊▊</div> <div> Twitter @jadabird</div> </div> </div> </div> </div>
body-300,<div>Your pooler is reminded that POTUS is taking Marine One straight to DANG not stopping at JBA. Apologies for the error in pool report #2. </div><div><div><br></div> </div>-- <br><div><div>Morgan Chalfant<div>White House correspondent The Hill</div><div>▊▊▊▊▊▊▊▊▊▊</div><div>▊▊▊▊▊▊▊▊▊▊</div></div></div>
body-132,<div> <div> <div>Good morning. I will be your pooler today.</div> <div><br> </div> <div>The president will go with the First Lady to a medical procedure this morning. Pool is gathering at direction of loud speaker.</div> <div><br> </div> <div>Please let me know if you have any questions. </div> <div><br> </div> <div> <div> Courtney Rozen</div> <div> White House Reporter</div> <div> Bloomberg Government</div> <div> ▊▊▊▊▊▊▊▊▊▊</div> <div> ▊▊▊▊▊▊▊▊▊▊</div> </div> </div> </div>
body-336,"<div><div><div>Your pooler neglected to mention that on the tarmac in Laconia VPOTUS didn't react at all to shouted questions about when she would visit the U.S.-Mexico border and about how she plans to address ""Northern triangle"" countries' responsibility for the flood of migrants entering the U.S. from the south.</div><div><br></div> <p><a name=""m_-1009497298499614785_m_-7301831629591427813_m_791869243420028240_m_-5736593111358434927__MailAutoSig"" rel=""noreferrer noreferrer noreferrer noreferrer""> </a></p> <p><b>______________________________</b></p> <p><b>David Martosko</b></p> <p>White House correspondent<br><i>DailyMailTV</i><br>Senior Content Executive<br><i>ZENGER NEWS</i><br>▊▊▊▊▊▊▊▊▊▊<br>@dmartosko</p></div></div>"
body-104,"<div>Howdy from the VP pool. The POTUS in-house pool has shifted gears for the moment and is now in the South Court Auditorium for Vice President Harris remarks on the American Rescue Plan. <div><br></div><div>Check the livestream at <a href=""http://whitehouse.gov/live"" rel=""noreferrer noreferrer"" target=""_blank"">whitehouse.gov/live</a><br><div><br></div><div>The audience is the pool plus a few aides.</div><div><br></div><div>VP entered at 3:35. She is introduced by Maria “Isabel” Ballivian Linale executive director of ACCA in Annandale VA which does early childhood education. </div><div><br></div><div>Event underway.</div><div><br><div><br><div><br>Todd J. Gillman<br>Washington Bureau Chief <br>The Dallas Morning News<br>M: ▊▊▊▊▊▊▊▊▊▊ <br>▊▊▊▊▊▊▊▊▊▊<br>@ToddGillman</div></div></div></div></div>"
body-309,<div> <div> <div>Arrived at Albuquerque Sunport at 3:21pm was greeted by </div> <div><br> </div> <div>Sen. Martin Heinrich (D-NM) </div> <div>And sons Carter and Michael Heinrich.</div> <div><br> </div> <div>(Sen. Ben Ray Lujan D-NM was on the greeter list but was not there.)</div> <div><br> </div> <div>She then took photos with two members of the local secret service field office the tactical team from the state police (six members in Army green) all the drivers from the motorcade (ours was a very nice social worker and Army spouse mother of 5 from Colorado Springs) and an ATF canine officer named Chewy who the First Lady petted. </div> <div><br> </div> <div>Wheels up soon it’s 3:57pm and it’s 3 hours 15 mins to JBA. </div> <div><br> </div> <div><br> </div> <div> <div>Sent from my iPhone</div> <div>Jada Yuan</div> <div>Political Features Writer <i>The Washington Post</i></div> <div>▊▊▊▊▊▊▊▊▊▊</div> <div>C: ▊▊▊▊▊▊▊▊▊▊</div> <div>Twitter: @jadabird</div> <div>IG: @alphajada</div> </div> </div> </div>
body-103,"<div><div>VP Harris began speaking at 3:40.</div><div><br></div><div>The head on camera in the South Court Auditorium is just above a monitor with the speech text scrolling. Again there's no audience other than the POTUS pool on loan for this and a few aides including Symone Sanders and Sabrina Singh in the back near the pool. </div><div><br></div><div>Harris touted ""the single largest investment in childcare in our nation's history.""</div><div><br></div><div>She ended her remarks at 3:52 and departed stage right without the pool having an opportunity to ask any questions. </div><div><br></div><div>Next stop for pool is East Room for POTUS remarks on Russia at 4:30.</div><div><br><div><br>Todd J. Gillman<br>Washington Bureau Chief <br>The Dallas Morning News<br>M: ▊▊▊▊▊▊▊▊▊▊ <br><a href=""mailto:▊▊▊▊▊▊▊▊▊▊"" rel=""noreferrer noreferrer noreferrer noreferrer"" target=""_blank"">▊▊▊▊▊▊▊▊▊▊</a><br>@ToddGillman</div></div></div>"
body-331,"<div><div><div><div>Sen. Hassan spoke first with a stiff breeze blowing and her face covered by a black mask throughout. (No one who spoke so unmasked.) ""Broadband access and affordability isn't a luxury. It's really essential. And we learned that during the pandemic when the need for broadband access grew significantly"" she said.<br><br>Hassan said a New Hampshire teacher told her one of her students had to drive to a school parking lot to get online. She praised Congress for appropriating state broadband infrastructure aid ""that was fairly unrestricted."" <br><br>Hassan said the goal should be ""to make sure we are getting that reliable high-speed broadband to people in this country no matter where they live no matter what they earn.""<br><br>Steve Camerino president and CEO of the New Hampshire Electric Co-op spoke briefly -- and quietly -- facing VPOTUS and not the pool. (The wind the social distance and the masks are conspiring to cover a lot of sound and your pooler left his boom mic in his other jacket...)<br><br>Camerino asked for more ""federal action"" on broadband. ""There are areas where the density is too low for investor-owned companies to go"" he said adding that rural Americans are ""going to fall behind"" in access to education telehealth and commerce.<br><br>""We need your help and we really appreciate the help provided so far"" he told VPOTUS.<br><br>Jeff Bird read brief remarks from a piece of paper. He got flustered at one point and VPOTUS walked toward him to reassure him: ""We don't know what you know! You're teaching right now."" <br><br>VPOTUS pointed her arm toward the press pool and suddenly got sotto voce as she got within a foot of Bird. She told him: ""All these guys they may or may not understand what you do. What you do is so important."" She said again: ""These people they don't understand.""<br><br>The pool here includes a reporter from the Manchester Union-Leader. <br><br>Report on VPOTUS remarks coming up.<br><br></div><div><br></div> <p><a name=""m_-5437812070381520706_m_-5900177736503311307_m_1922834204879016857__MailAutoSig"" rel=""noreferrer noreferrer""> </a></p> <p><b>______________________________</b></p> <p><b>David Martosko</b></p> <p>White House correspondent<br><i>DailyMailTV</i><br>Senior Content Executive<br><i>ZENGER NEWS</i><br>▊▊▊▊▊▊▊▊▊▊<br>@dmartosko</p></div></div> </div>"
