Identifier,Title,Date,Creator,Object Type,Format,Rights Statement,FILES
202104_000,Pool Report #3 - event concludes,2021-04-08T12:33:11-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,000/body-000.html
202104_001,Pool Report #2a - clarification,2021-04-08T11:59:56-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,001/body-001.html
202104_002,Pool Report #2 - event begins,2021-04-08T11:56:41-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,002/body-002.html
202104_003,Pool Note #2 - two min warning,2021-04-08T11:52:54-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,003/body-003.html
202104_004,Pool Note - still waiting,2021-04-08T11:51:40-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,004/body-004.html
202104_005,"Pool Report #1 - Checking in, Rose Garden event attendees",2021-04-08T09:51:34-04:00,Chris Johnson,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,005/body-005.html
202104_006,FLOTUS Pool Report #9: Tour and WH arrival,2021-04-07T19:04:59Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,006/body-006.html
202104_007,in-town print pool #9 (lid),2021-04-07T14:38:24-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,007/body-007.html
202104_008,In-town print pool #8 (POTUS concludes),2021-04-07T14:30:47-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,008/body-008.html
202104_009,In-town print pool #7 (POTUS begins),2021-04-07T14:05:32-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,009/body-009.html
202104_010,In-town print pool #6 (2 min warning),2021-04-07T14:02:22-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,010/body-010.html
202104_011,In-town print pool #5 (holding for POTUS),2021-04-07T13:48:24-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,011/body-011.html
202104_012,In-town print pool #4 (briefing over),2021-04-07T13:36:35-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,012/body-012.html
202104_013,FLOTUS Pool Report #8: Military OneSource Arrival,2021-04-07T17:34:25Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,013/body-013.html
202104_014,FLOTUS Pool Report #7: Motorcade rolling,2021-04-07T17:21:22Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,014/body-014.html
202104_015,FLOTUS Pool Report #6: Holding in press vans,2021-04-07T17:00:34Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,015/body-015.html
202104_016,FLOTUS Pool Report #5: Remarks as delivered,2021-04-07T16:44:44Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,016/body-016.html
202104_017,FLOTUS Pool Report #4: More remarks + Color,2021-04-07T16:39:44Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,017/body-017.html
202104_018,In-town print pool #3 (2 min warning),2021-04-07T12:19:21-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,018/body-018.html
202104_019,FLOTUS Pool Report #3: FLOTUS Excerpts / Event begins,2021-04-07T15:43:47Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,019/body-019.html
202104_020,FLOTUS Pool Report #2: Pool waiting,2021-04-07T15:33:04Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,020/body-020.html
202104_021,In-town print pool #2 (lunch lid 'till noon),2021-04-07T11:19:19-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,021/body-021.html
202104_022,FLOTUS Pool Report #1: Checking-in,2021-04-07T15:09:33Z,Bricio Segovia,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,022/body-022.html
202104_023,In-town pool report #1 (checking in),2021-04-07T10:11:21-04:00,Alex Leary,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,023/body-023.html
202104_024,VP pool report #4,2021-04-06T19:23:31-04:00,Isaac Dovere,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,024/body-024.html
202104_025,VP pool report #3,2021-04-06T16:14:48-05:00,Isaac Dovere,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,025/body-025.html
202104_026,In-Town Pool Report #20 - Fuller quotes,2021-04-06T20:54:37Z,Courtney Subramanian,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,026/body-026.html
202104_027,In-Town Pool Report #19 - Travel/photo lid,2021-04-06T20:49:30Z,Courtney Subramanian,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,027/body-027.html
202104_028,In-Town Pool Report #18 - Remarks end,2021-04-06T20:32:31Z,Courtney Subramanian,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,028/body-028.html
202104_029,In-Town Pool Report #17 - POTUS begins remarks,2021-04-06T20:11:12Z,Courtney Subramanian,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,029/body-029.html
202104_030,In-Town Pool Report #16 - Two-minute warning for POTUS remarks,2021-04-06T20:08:31Z,Courtney Subramanian,http://purl.org/dc/dcmitype/Text,http://vocab.lib.umd.edu/form#pool_reports,http://vocab.lib.umd.edu/rightsStatement#InC-NC,030/body-030.html
